Point;Valeur
-6.201892344351353;1.4445452074103
-5.887090846547784;0.7869301700288
-5.622520292271208;0.38753151428943
-5.423019278914431;0.17894531033328
-5.282384611948318;0.07974106906520
-5.186854528087898;0.03491461466695
-5.123142972834613;0.015164191758546
-5.081012158970633;0.006562969901083
-5.053258268420836;0.002836443155185
-5.035006023678758;0.0012254216937977
-5.02301135919337;0.0005295226519262
-5.015131474022244;0.0002289615060858
-5.009955517855002;9.91123357612666e
-5.006555864294865;4.297935665268124e
-5.004322975312686;1.8688115554091616e
-5.002856433189046;8.159210563483143e
-5.001893225924797;3.584304402323513e
-5.0012606043534085;1.5891233358323808e
-5.000845107417381;7.142065469119658e
-5.000572214997659;3.274300035456653e
-5.00039298320877;1.544358023752642e
-5.000275266375079;7.577157724896016e
-5.000197951672486;3.9184864639888915e
PointOptimal;ValeurOptimale
[-5.00019795];3.9184864639888915e-08
Temps;Nb iteration
0.0010669231414794922;22
