Point;Valeur
-3.733598730260619 3.021325241596619;111.22949743291
-2.0935987302605286 4.6613252415967095;20.535984047552
-0.29005221083375043 6.290134462389085;28.490535539224
0.6818000192284375 6.584917507421424;55.63865835846
0.6593667467383175 5.793400534420673;31.983386901025
0.13325543067625656 4.540263792008036;4.93817127072
-0.3849634205527992 3.3221445734439543;6.540236409547
-0.4952761627717869 2.5625399133579942;17.36909976955
-0.1131400299071807 2.3912879489455734;13.468709442127
0.5766416974603312 2.630146773162477;2.832761783079
1.3009428352307228 2.99509739759112;0.4411499033839
1.8073712161687872 3.228672087768457;4.997682114955
1.9691608925406037 3.199937565683386;6.446412685888
1.8279728489074203 2.941019191407332;3.0544128065798
1.5309777688911097 2.5891383676996185;0.5084562170310
1.2456126839808654 2.3042503218879187;1.354886459067
1.09101300541462 2.197039643331007;2.680504825369
1.0975865687303015 2.2864109286455756;2.0365688341097
1.2140624040968917 2.508983551365891;0.5937340368190
1.3492072442608736 2.762941313067808;0.22845171613790
1.4198038916489424 2.9560338700774507;0.743184420581
1.3859598789672682 3.040964386796364;0.8797004239492
1.2608647803780382 3.025758237371006;0.3973249376484
1.0949898791188672 2.957939643029465;0.021998288022908
0.9479229220035941 2.8956166698289874;0.1115273389658
0.8619957103167715 2.8804150746094903;0.2987545532408
0.8479206311380342 2.922802398938687;0.23935931979187
0.8866381773562896 3.003841756223721;0.06084424171854
0.943376343425947 3.0892521392300747;0.015430654362698
0.9853030669208479 3.147148486802947;0.09204233334571
0.9947514091649584 3.1613479491156897;0.12352874701211
0.9733577975552485 3.1354433265584;0.06640544009388
0.9371351520966578 3.0876590877522045;0.014095122086190
0.9064465891360208 3.0405615719023436;0.02163002178561
0.8961648062929394 3.0109960444656383;0.045379090973557
0.9101391492842444 3.0044152550154077;0.037298266266559
0.941481729789398 3.0151321493385845;0.011182791829331
0.9773917730085242 3.031204221272115;0.0017803998235883
1.005559112914571 3.0409410668158428;0.01035614154825
1.0191275363807777 3.0379591487046484;0.014842318074549
1.0184022721903288 3.02293536237681;0.00769987459554
1.0092202167123983 3.0019765518045114;0.0005903896541445
0.9993376525731652 2.982979437564194;0.0015408794545861
0.9947574061763507 2.9719303168018785;0.00525422310634
0.9975565205196735 2.9707287217973173;0.004886081739157
1.0058299968795115 2.9771597065851747;0.0017130686197676
1.0153463485994922 2.986602943372433;0.0004301904983866
1.02186589452535 2.9944116423029086;0.0015691799059256
1.0230027695659214 2.9978239405831273;0.0022688700648186
1.018928970500954 2.9966938518273873;0.0013455268499769
1.0118502253267818 2.99297047026647;0.0002827985525812
1.0047191560964852 2.9893985031132666;0.0002730699031928
0.9998821256908881 2.988148063955112;0.000713587722007
0.9982456785827218 2.989969532029402;0.0006592129750107
0.999211862712021 2.994127253177804;0.00021257982413905
1.0012563943715969 2.9989845016707366;2.841887286562697e
1.0027765512684692 3.002861095914963;0.0001430273698404
1.0027961313302993 3.004744859311796;0.0002577981997617
1.0012580116047072 3.0045835495300715;0.00015908686545763
0.9988636169500014 3.003116261191037;2.668212006053675e
0.9966189170440327 3.0014067735877488;2.9002323808057127e
0.9953391213312187 3.000335288802632;9.667911930681847e
0.9953313231863312 3.0002714932978356;9.92111432889103e
PointOptimal;ValeurOptimale
[0.99533132 3.00027149];9.92111432889103e-05
Temps;Nb iteration
0.003725767135620117;62
